Year,Disney+,Hulu,Netflix,Prime Video
2010,0,200000000,2163000000,300000000
2011,0,400000000,3205000000,800000000
2012,0,600000000,3609000000,1300000000
2013,0,1100000000,4375000000,1700000000
2014,0,1600000000,5505000000,2760000000
2015,0,2000000000,6780000000,4470000000
2016,0,2400000000,8831000000,6390000000
2017,0,3100000000,11693000000,9720000000
2018,0,3500000000,15794000000,14170000000
2019,1000000000,4500000000,20156000000,19210000000
2020,2800000000,7200000000,24996000000,25210000000
2021,5200000000,9600000000,29698000000,31770000000
2022,7400000000,10700000000,31616000000,35220000000
2023,8400000000,11200000000,33723000000,40200000000
2024,10400000000,12000000000,39001000000,45334000000
